emb_file,sampling,classifier,macro_f1,micro_f1,test_set_size
ppi_Node2Vec-Embedding_1574319348.248242.emb,sample-random-walk-1574319345.835425,TopKRanker,0.21490918562419295,0.2678843226788432,0.1
ppi_Node2Vec-Embedding_1574319348.248242.emb,sample-random-walk-1574319345.835425,TopKRanker,0.20238493637816418,0.24107142857142858,0.2
ppi_Node2Vec-Embedding_1574319348.248242.emb,sample-random-walk-1574319345.835425,TopKRanker,0.19327576179830114,0.22837370242214533,0.3
ppi_Node2Vec-Embedding_1574319348.248242.emb,sample-random-walk-1574319345.835425,TopKRanker,0.193385915638666,0.22452830188679246,0.4
ppi_Node2Vec-Embedding_1574319348.248242.emb,sample-random-walk-1574319345.835425,TopKRanker,0.18071933323537887,0.21046265497429695,0.5
ppi_Node2Vec-Embedding_1574319348.248242.emb,sample-random-walk-1574319345.835425,TopKRanker,0.17011835287953125,0.2017167381974249,0.6
ppi_Node2Vec-Embedding_1574319348.248242.emb,sample-random-walk-1574319345.835425,TopKRanker,0.1607263521829932,0.19313767803193785,0.7
ppi_Node2Vec-Embedding_1574319348.248242.emb,sample-random-walk-1574319345.835425,TopKRanker,0.16207360306089505,0.19167933130699089,0.8
ppi_Node2Vec-Embedding_1574319348.248242.emb,sample-random-walk-1574319345.835425,TopKRanker,0.1460519580316542,0.18060483189727997,0.9
ppi_FastText-Embedding_1574319359.119509.emb,sample-random-walk-1574319345.835425,TopKRanker,0.2059127041029413,0.2633181126331811,0.1
ppi_FastText-Embedding_1574319359.119509.emb,sample-random-walk-1574319345.835425,TopKRanker,0.18888448444616415,0.23139880952380953,0.2
ppi_FastText-Embedding_1574319359.119509.emb,sample-random-walk-1574319345.835425,TopKRanker,0.18393125038265398,0.22540781018289668,0.3
ppi_FastText-Embedding_1574319359.119509.emb,sample-random-walk-1574319345.835425,TopKRanker,0.1669336227732456,0.20754716981132076,0.4
ppi_FastText-Embedding_1574319359.119509.emb,sample-random-walk-1574319345.835425,TopKRanker,0.16330307627117022,0.19745993347444815,0.5
ppi_FastText-Embedding_1574319359.119509.emb,sample-random-walk-1574319345.835425,TopKRanker,0.1629296845634233,0.19439535470840696,0.6
ppi_FastText-Embedding_1574319359.119509.emb,sample-random-walk-1574319345.835425,TopKRanker,0.15338507324424924,0.18752697453603798,0.7
ppi_FastText-Embedding_1574319359.119509.emb,sample-random-walk-1574319345.835425,TopKRanker,0.15041306214624575,0.1804711246200608,0.8
ppi_FastText-Embedding_1574319359.119509.emb,sample-random-walk-1574319345.835425,TopKRanker,0.12836731619865965,0.16607535056597397,0.9
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.21234712682733875,0.2633181126331811,0.1
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.18797511505236084,0.24702380952380953,0.2
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.18364112214031533,0.23578843302026692,0.3
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.17293212533437768,0.2211320754716981,0.4
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.1658406247370094,0.212276988206834,0.5
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.1607296068913714,0.20398889169401668,0.6
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.15021010032818485,0.19594302977988778,0.7
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.14566475447750038,0.19148936170212763,0.8
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.12878398699554736,0.1699611420848116,0.9
